game_id,season
5635,33
5634,33
5633,33
5631,33
5630,33
5629,33
5628,33
5627,33
5621,33
5626,33
5618,33
5616,33
5615,33
5611,33
5614,33
5609,33
5608,33
5607,33
5602,33
5606,33
5600,33
5599,33
5598,33
5595,33
5594,33
5591,33
5590,33
5589,33
5581,33
5583,33
5573,33
5577,33
5576,33
5569,33
5575,33
5566,33
5565,33
5558,33
5553,33
5557,33
5564,33
5563,33
5562,33
5548,33
5550,33
5561,33
5560,33
5559,33
5539,33
5545,33
5533,33
5532,33
5531,33
5530,33
5529,33
5527,33
5526,33
5524,33
5522,33
5523,33
5521,33
5520,33
5519,33
5517,33
5518,33
5516,33
5515,33
5514,33
5512,33
5513,33
5535,33
5534,33
5511,33
5510,33
5509,33
5508,33
5507,33
5506,33
5505,33
5504,33
5503,33
5501,33
5500,33
5499,33
5498,33
5497,33
5496,33
5495,33
5494,33
5493,33
5492,33
5491,33
5490,33
5489,33
5488,33
5487,33
5477,33
5476,33
5475,33
5474,33
5473,33
5472,33
5471,33
5470,33
5486,33
5485,33
5484,33
5483,33
5469,33
5482,33
5481,33
5480,33
5479,33
5468,33
5478,33
5467,33
5466,33
5465,33
5463,33
5462,33
5461,33
5460,33
5459,33
5458,33
5457,33
5456,33
5455,33
5454,33
5449,33
5453,33
5452,33
5451,33
5448,33
5443,33
5447,33
5446,33
5445,33
5444,33
5441,33
5442,33
5440,33
5439,33
5438,33
5433,33
5437,33
5432,33
5431,33
5430,33
5429,33
5428,33
5427,33
5426,33
5424,33
5423,33
5422,33
5421,33
5419,33
5418,33
5415,33
5413,33
5412,33
5411,33
5410,33
5408,33
5409,33
5407,33
5406,33
5405,33
5403,33
5404,33
5384,32
5383,32
5382,32
5368,32
5366,32
5381,32
5380,32
5379,32
5363,32
5365,32
5378,32
5377,32
5376,32
5362,32
5351,32
5350,32
5349,32
5345,32
5343,32
5339,32
5337,32
5336,32
5335,32
5332,32
5330,32
5328,32
5327,32
5325,32
5321,32
5319,32
5316,32
5315,32
5314,32
5313,32
5310,32
5309,32
5307,32
5306,32
5305,32
5304,32
5302,32
5301,32
5300,32
5298,32
5297,32
5296,32
5295,32
5294,32
5293,32
5292,32
5290,32
5289,32
5287,32
5286,32
5284,32
5283,32
5282,32
5280,32
5278,32
5276,32
5275,32
5274,32
5273,32
5270,32
5269,32
5267,32
5264,32
5263,32
5261,32
5259,32
5258,32
5257,32
5255,32
5253,32
5251,32
5249,32
5248,32
5247,32
5245,32
5242,32
5241,32
5240,32
5239,32
5233,32
5232,32
5231,32
5230,32
5228,32
5226,32
5225,32
5224,32
5223,32
5222,32
5221,32
5220,32
5219,32
5218,32
5217,32
5216,32
5215,32
5214,32
5213,32
5212,32
5211,32
5210,32
5209,32
5208,32
5207,32
5206,32
5205,32
5204,32
5203,32
5200,32
5202,32
5201,32
5199,32
5198,32
5197,32
5196,32
5195,32
5193,32
5192,32
5189,32
5188,32
5187,32
5185,32
5184,32
5183,32
5181,32
